1984, George Orwell,
The Adventures of Huckleberry Finn , Mark Twain,
Alice in Wonderland , Lewis Carroll,
The Amazing Adventures of Kavalier & Clay , Michael Chabon,
An American Tragedy , Theodore Dreiser,
Angela’s Ashes , Frank McCourt,
Anna Karenina , Leo Tolstoy,
Anne Frank: The Diary of a Young Girl , Anne Frank,
Archidamian War , Donald Kagan,
The Art of Fiction , Henry James,
The Art of War , Sun Tzu,
As I Lay Dying , William Faulkner,
Atonement , Ian McEwan,
Autobiography of a Face , Lucy Grealy,
The Awakening , Kate Chopin,
Babe , Dick King-Smith,
Backlash: The Undeclared War Against American Women , Susan Faludi,
Balzac and the Little Chinese Seamstress , Dai Sijie,
Bel Canto , Ann Patchett,
The Bell Jar , Sylvia Plath,
Beloved , Toni Morrison,
Beowulf: A New Verse Translation , Seamus Heaney,
The Bhagava Gita,,
"The Bielski Brothers: The True Story of Three Men Who Defied the Nazis, Built a Village in the Forest, and Saved 1,200 Jews ", Peter Duffy,
Bitch in Praise of Difficult Women , Elizabeth Wurtzel,
A Bolt from the Blue and Other Essays , Mary McCarthy,
Brave New World , Aldous Huxley,
Brick Lane , Monica Ali,
Bridgadoon , Alan Jay Lerner,
Candide , Voltaire ,
The Canterbury Tales , Chaucer,
Carrie , Stephen King,
Catch-22 , Joseph Heller,
The Catcher in the Rye , J. D. Salinger,
Charlotte's Web , E. B. White,
The Children’s Hour , Lillian Hellman,
Christine , Stephen King,
A Christmas Carol , Charles Dickens ,
A Clockwork Orange , Anthony Burgess,
The Code of the Woosters , P.G. Wodehouse,
The Collected Short Stories , Eudora Welty,
The Collected Stories of Eudora Welty , Eudora Welty,
A Comedy of Errors , William Shakespeare,
Complete Novels , Dawn Powell,
The Complete Poems , Anne Sexton,
Complete Stories , Dorothy Parker,
A Confederacy of Dunces , John Kennedy Toole,
The Count of Monte Cristo , Alexandre Dumas père,
Cousin Bette , Honor’e de Balzac,
Crime and Punishment , Fyodor Dostoevsky,
The Crimson Petal and the White , Michel Faber,
The Crucible , Arthur Miller,
Cujo , Stephen King,
The Curious Incident of the Dog in the Night-Time , Mark Haddon,
Daisy Miller , Henry James ,
Daughter of Fortune , Isabel Allende,
David and Lisa , Dr Theodore Issac Rubin M.D,
David Copperfield , Charles Dickens,
The Da Vinci -Code , Dan Brown,
Dead Souls , Nikolai Gogol,
Demons , Fyodor Dostoyevsky,
Death of a Salesman , Arthur Miller,
Deenie , Judy Blume,
"The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America ", Erik Larson,
The Dirt: Confessions of the World’s Most Notorious Rock Band ," Tommy Lee, Vince Neil, Mick Mars and Nikki Sixx",
The Divine Comedy , Dante,
The Divine Secrets of the Ya-Ya Sisterhood , Rebecca Wells,
Don Quijote , Cervantes,
Driving Miss Daisy , Alfred Uhrv,
Dr. Jekyll & Mr. Hyde , Robert Louis Stevenson,
Edgar Allan Poe: Complete Tales & Poems , Edgar Allan Poe,
Eleanor Roosevelt , Blanche Wiesen Cook,
The Electric Kool-Aid Acid Test , Tom Wolfe,
Ella Minnow Pea: A Novel in Letters , Mark Dunn,
Eloise , Kay Thompson,
Emily the Strange , Roger Reger,
Emma , Jane Austen,
Empire Falls , Richard Russo,
Encyclopedia Brown: Boy Detective , Donald J. Sobol,
Ethan Frome , Edith Wharton,
Ethics , Spinoza,
"Europe through the Back Door, 2003 ", Rick Steves,
Eva Luna , Isabel Allende,
Everything Is Illuminated , Jonathan Safran Foer,
Extravagance , Gary Krist,
Fahrenheit 451 , Ray Bradbury – started and not finished,
Fahrenheit 9/11 , Michael Moore,
The Fall of the Athenian Empire , Donald Kagan,
Fat Land: How Americans Became the Fattest People in the World , Greg Critser,
Fear and Loathing in Las Vegas , Hunter S. Thompson,
The Fellowship of the Ring: Book 1 of The Lord of the Ring , J. R. R. Tolkien (TBR),
Fiddler on the Roof , Joseph Stein,
The Five People You Meet in Heaven , Mitch Albom,
Finnegan’s Wake , James Joyce,
Fletch , Gregory McDonald,
Flowers for Algernon , Daniel Keyes,
The Fortress of Solitude , Jonathan Lethem,
The Fountainhead , Ayn Rand,
Frankenstein , Mary Shelley,
Franny and Zooey , J. D. Salinger,
Freaky Friday , Mary Rodgers,
Galapagos , Kurt Vonnegut,
Gender Trouble , Judith Butler,
George W. Bushism: The Slate Book of the Accidental Wit and Wisdom of our 43rd President , Jacob Weisberg,
Gidget , Fredrick Kohner,
"Girl, Interrupted ", Susanna Kaysen,
The Gnostic Gospels , Elaine Pagels,
The Godfather: Book 1 , Mario Puzo,
The God of Small Things , Arundhati Roy,
Goldilocks and the Three Bears , Alvin Granowsky,
Gone with the Wind , Margaret Mitchell,
The Good Soldier , Ford Maddox Ford,
The Gospel According to Judy Bloom,,
The Graduate , Charles Webb,
The Grapes of Wrath , John Steinbeck,
The Great Gats, F. Scott Fitzgerald,
Great Expectations , Charles Dickens,
The Group , Mary McCarthy,
Hamlet , William Shakespeare,
Harry Potter and the Goblet of Fire , J. K. Rowling,
Harry Potter and the Sorcerer’s Stone , J. K. Rowling,
A Heartbreaking Work of Staggering Genius , Dave Eggers,
Heart of Darkness , Joseph Conrad (TBR),
Helter Skelter: The True Story of the Manson Murders , Vincent Bugliosi and Curt Gentry (TBR),
"Henry IV, part I ", William Shakespeare,
"Henry IV, part II ", William Shakespeare,
Henry V , William Shakespeare,
High Fidelity , Nick Horn,
The History of the Decline and Fall of the Roman Empire , Edward Gibbon,
Holidays on Ice: Stories , David Sedaris,
The Holy Barbarians , Lawrence Lipton,
House of Sand and Fog , Andre Dubus III (Lpr),
The House of the Spirits , Isabel Allende,
How to Breathe Underwater , Julie Orringer,
How the Grinch Stole Christmas , Dr. Seuss,
How the Light Gets in , M. J. Hyland,
Howl , Allen Gingsburg,
The Hunchback of Notre Dame , Victor Hugo,
The Iliad , Homer,
I’m with the Band , Pamela des Barres,
In Cold Blood , Truman Capote,
Inherit the Wind , Jerome Lawrence and Robert E. Lee,
Iron Weed , William J. Kennedy,
It Takes a Village , Hillary Clinton,
Jane Eyre , Charlotte Brontë,
The Joy Luck Club , Amy Tan,
Julius Caesar , William Shakespeare,
The Jumping Frog , Mark Twain,
The Jungle , Upton Sinclair,
Just a Couple of Days , Tony Vigorito,
The Kitchen Boy: A Novel of the Last Tsar , Robert Alexander,
The Kite Runner , Khaled Hosseini ,
Lady Chatterleys’ Lover , D. H. Lawrence,
The Last Empire: Essays 1992-2000 , Gore Vidal,
Leaves of Grass , Walt Whitman,
The Legend of Bagger Vance , Steven Pressfield,
Less Than Zero , Bret Easton Ellis,
Letters to a Young Poet , Rainer Maria Rilke,
Lies and the Lying Liars Who Tell Them , Al Franken,
Life of Pi , Yann Martel,
"The Lion, The Witch and The Wardrobe ", C.S. Lewis,
Little Dorrit , Charles Dickens,
The Little Locksmith , Katharine Butler Hathaway,
The Little Match Girl , Hans Christian Andersen,
Little Women , Louisa May Alcott,
Living History , Hillary Rodham Clinton,
Lord of the Flies , William Golding,
The Lottery: And Other Stories , Shirley Jackson,
The Lovely Bones , Alice Sebold,
The Love Story , Erich Segal,
Macbeth , William Shakespeare,
Madame Bovary , Gustave Flaubert,
The Manticore , Robertson Davies,
Marathon Man , William Goldman,
The Master and Margarita , Mikhail Bulgakov,
Memoirs of a Dutiful Daughter , Simone de Beauvoir,
Memoirs of General W. T. Sherman , William Tecumseh Sherman,
Me Talk Pretty One Day , David Sedaris,
The Meaning of Consuelo , Judith Ortiz Cofer,
Mencken’s Chrestomathy , H. R. Mencken,
The Merry Wives of Windsro , William Shakespeare,
The Metamorphosis , Franz Kafka,
Middlesex , Jeffrey Eugenides,
The Miracle Worker , William Gibson,
Mo, Dick , Herman Melville
The Mojo Collection: The Ultimate Music Companion , Jim Irvin,
Moliere: A Biography , Hobart Chatfield Taylor,
A Monetary History of the United States , Milton Friedman,
Monsieur Proust , Celeste Albaret,
A Month Of Sundays: Searching For The Spirit And My Sister , Julie Mars,
A Moveable Feast , Ernest Hemingway,
Mrs. Dalloway , Virginia Woolf,
Mutiny on the Bounty , Charles Nordhoff and James Norman Hall,
My Lai 4: A Report on the Massacre and It’s Aftermath , Seymour M. Hersh,
My Life as Author and Editor , H. R. Mencken,
My Life in Orange: Growing Up with the Guru , Tim Guest,
My Sister’s Keeper , Jodi Picoult,
The Naked and the Dead , Norman Mailer,
The Name of the Rose , Umberto Eco,
The Namesake , Jhumpa Lahiri,
The Nanny Diaries , Emma McLaughlin,
"Nervous System: Or, Losing My Mind in Literature ", Jan Lars Jensen,
New Poems of Emily Dickinson , Emily Dickinson,
The New Way Things Work , David Macaulay,
Nickel and Dimed , Barbara Ehrenreich,
Night , Elie Wiesel,
Northanger Abbey , Jane Austen,
The Norton Anthology of Theory and Criticism ," William E. Cain, Laurie A. Finke, Barbara E. Johnson, John P. McGowan",
"Novels 1930-1942: Dance Night/Come Back to Sorrento, Turn, Magic Wheel/Angels on Toast/A Time to be Born ", Dawn Powell,
Notes of a Dirty Old Man , Charles Bukowski,
Of Mice and Men , John Steinbeck,
Old School , Tobias Wolff,
Oliver Twist , Charles Dickens,
On the Road , Jack Kerouac,
One Day in the Life of Ivan Denisovitch , Alexander Solzhenitsyn,
One Flew Over the Cuckoo’s Nest , Ken Kesey,
One Hundred Years of Solitude , Gabriel Garcia Marquez,
The Opposite of Fate: Memories of a Writing Life , Amy Tan,
Oracle Night , Paul Auster,
Oryx and Crake , Margaret Atwood,
Othello , Shakespeare,
Our Mutual Friend , Charles Dickens,
The Outbreak of the Peloponnesian War , Donald Kagan,
Out of Africa , Isac Dineson,
The Outsiders , S. E. Hinton,
A Passage to India , E.M. Forster,
The Peace of Nicias and the Sicilian Expedition , Donald Kagan,
The Perks of Being a Wallflower , Stephen Chbosky,
Peyton Place , Grace Metalious,
The Picture of Dorian Gray , Oscar Wilde,
Pigs at the Trough , Arianna Huffington,
Pinocchio , Carlo Collodi,
Please Kill Me: The Uncensored Oral History of Punk Legs McNeil and Gillian McCain,,
The Polysyllabic Spree , Nick Horn,
The Portable Dorothy Parker , Dorothy Parker,
The Portable Nietzche , Fredrich Nietzche,
"The Price of Loyalty: George W. Bush, the White House, and the Education of Paul O’Neill ", Ron Suskind,
Pride and Prejudice , Jane Austen,
Property , Valerie Martin,
Pushkin: A Biography , T. J. Binyon,
Pygmalion , George Bernard Shaw,
Quattrocento , James Mckean,
A Quiet Storm , Rachel Howzell Hall,
Rapunzel , Grimm Brothers,
The Raven , Edgar Allan Poe,
The Razor’s Edge , W. Somerset Maugham,
Reading Lolita in Tehran: A Memoir in Books , Azar Nafisi,
Rebecca , Daphne du Maurier,
Rebecca of Sunnybrook Farm , Kate Douglas Wiggin,
The Red Tent , Anita Diamant,
Rescuing Patty Hearst: Memories From a Decade Gone Mad , Virginia Holman,
The Return of the King: The Lord of the Rings Book 3 , J. R. R. Tolkien (TBR),
R Is for Ricochet , Sue Grafton,
Rita Hayworth , Stephen King,
Robert’s Rules of Order , Henry Robert,
Roman Fever , Edith Wharton,
Romeo and Juliet , William Shakespeare,
A Room of One’s Own , Virginia Woolf,
A Room with a View , E. M. Forster,
Rosemary’s Ba, , Ira Levin
Sacred Time , Ursula Hegi,
Sanctuary , William Faulkner,
Savage Beauty: The Life of Edna St. Vincent Millay , Nancy Milford,
The Scarecrow of Oz , Frank L. Baum,
The Scarlet Letter , Nathaniel Hawthorne,
Seabiscuit: An American Legend , Laura Hillenbrand,
The Second Sex , Simone de Beauvoir,
The Secret Life of Bees , Sue Monk Kidd,
Secrets of the Flesh: A Life of Colette , Judith Thurman,
Selected Letters of Dawn Powell: 1913-1965 , Dawn Powell,
Sense and Sensibility , Jane Austen,
A Separate Peace , John Knowles,
Several Biographies of Winston Churchill,,
Sexus , Henry Miller,
The Shadow of the Wind , Carlos Ruiz Zafon,
Shane , Jack Shaefer,
The Shining , Stephen King,
Siddhartha , Hermann Hesse,
S Is for Silence , Sue Grafton,
Slaughter-house Five , Kurt Vonnegut,
Small Island , Andrea Levy,
Snows of Kilimanjaro , Ernest Hemingway,
Snow White and Rose Red , Grimm Brothers,
Social Origins of Dictatorship and Democracy: Lord and Peasant in the Making of the Modern World , Barrington Moore,
The Song of Names , Norman Lebrecht,
Song of the Simple Truth: The Complete Poems of Julia de Burgos , Julia de Burgos,
The Song Reader , Lisa Tucker,
Songbook , Nick Horn,
The Sonnets , William Shakespeare,
Sonnets from the Portuegese , Elizabeth Barrett Browning,
Sophie’s Choice , William Styron,
The Sound and the Fury , William Faulkner,
"Speak, Memory ", Vladimir Nabokov,
Stiff: The Curious Lives of Human Cadavers , Mary Roach,
The Story of My Life , Helen Keller,
A Streetcar Named Desiree , Tennessee Williams,
Stuart Little , E. B. White,
Sun Also Rises , Ernest Hemingway,
Swann’s Way , Marcel Proust,
"Swimming with Giants: My Encounters with Whales, Dolphins and Seals ", Anne Collett,
Sybil , Flora Rheta Schreiber,
A Tale of Two Cities , Charles Dickens,
Tender Is The Night , F. Scott Fitzgerald,
Term of Endearment , Larry McMurtry,
Time and Again , Jack Finney,
The Time Traveler’s Wife , Audrey Niffenegger,
To Have and Have Not , Ernest Hemingway,
To Kill a Mockingbird , Harper Lee,
The Tragedy of Richard III , William Shakespeare,
A Tree Grows in Brooklyn , Betty Smith,
The Trial , Franz Kafka,
The True and Outstanding Adventures of the Hunt Sisters , Elisabeth Robinson,
Truth & Beauty: A Friendship , Ann Patchett,
Tuesdays with Morrie , Mitch Albom,
Ulysses , James Joyce,
The Unabridged Journals of Sylvia Plath 1950-1962 , Sylvia Plath,
Uncle Tom’s Cabin , Harriet Beecher Stowe,
Unless , Carol Shields,
Valley of the Dolls , Jacqueline Susann,
The Vanishing Newspaper , Philip Meyers,
Vanity Fair , William Makepeace Thackeray,
Velvet Underground’s The Velvet Underground and Nico (Thirty Three and a Third series) , Joe Harvard,
The Virgin Suicides , Jeffrey Eugenides,
Waiting for Godot , Samuel Beckett,
Walden , Henry David Thoreau,
Walt Disney’s Bambi , Felix Salten,
War and Peace , Leo Tolstoy,
We Owe You Nothing – Punk Planet: The Collected Interviews edited , Daniel Sinker,
What Colour is Your Parachute? 2005 , Richard Nelson Bolles,
What Happened to Ba, Jane , Henry Farrell
When the Emperor Was Divine , Julie Otsuka,
Who Moved My Cheese? Spencer Johnson,,
Who’s Afraid of Virginia Woolf , Edward Albee,
Wicked: The Life and Times of the Wicked Witch of the West , Gregory Maguire,
The Wizard of Oz , Frank L. Baum,
Wuthering Heights , Emily Brontë,
The Yearling , Marjorie Kinnan Rawlings,
The Year of Magical Thinking , Joan Didion,
